Video_ID,Comment
mC33yYDnF5w,와 첫곡이랑 두번째곡 노래 진짜 너무 좋아요
mC33yYDnF5w,음성건달 김메기(김준수) 사기의대왕
mC33yYDnF5w,미친음감 천재다
mC33yYDnF5w,가수이름이?
mC33yYDnF5w,"너무 좋습니다.
랩하시는 분은 실제 있으신 분인가요?
AI 인가요?

밑 댓글에 자자곡이라고 하신 내용이
있어 궁금해서 질문드렸습니다"
mC33yYDnF5w,굿보이
mC33yYDnF5w,심장마비올뻔~~~~~옆에 심장충격기 갔다놓고 들으시길~~~~
mC33yYDnF5w,덕분에 종종 잘 듣고있습니다. 특히 깁분이 필요할때.. 아쉬운 점은 노래 제목들이있었으면... 익숙한 멜로디임에도 제목이 떠오르지않을때는.. 네이버나 다음에서 음악검색을해도 먹통.. 그럼에도 굿!
mC33yYDnF5w,진짜 또랑 빠질뻔 😂
mC33yYDnF5w,"스트레스
쫙 풀리네요 ~ 
자작곡 이름이라도 알고 싶어요 ㅠㅠ̑̈ㅠ̑̈!!"
mC33yYDnF5w,직접 부르신거에요?
mC33yYDnF5w,이걸로 벨소리할수있능지..
mC33yYDnF5w,우와 너무 감사합니다❤
mC33yYDnF5w,내스타일
mC33yYDnF5w,굳~
mC33yYDnF5w,"스트레스 확 날아가네요
넘죠아죠아용^^"
mC33yYDnF5w,대박 !!!자작곡이여요!!!구독 꾹!!
mC33yYDnF5w,감사합니다
mC33yYDnF5w,노래최고 자전거타다 들어요? 거리가 늘어나요 ❤❤❤
mC33yYDnF5w,😍😍😍👍🏻👍🏻👍🏻
mC33yYDnF5w,안녕하세요 첫번째음원 댄스안무에 써보고 싶은데 가능할까요
mC33yYDnF5w,노래가 취향저격 입니다 구독 좋아요 누르고 듣고 있어요😊
mC33yYDnF5w,/롤/카/롤/카/ 놀이공원 보다 더 짜릿짜릿 19금 보다
mC33yYDnF5w,첫번째 음악듣고 깜짝놀라서 구독 하트 바로 누름이요ㅋ 왜 검색이 안되나 했더니 만드셨구나~ 능력자심👍 첫번째 음악비트로 하나 만드셔주셨으면 소원이 없겠슴요😅
mC33yYDnF5w,❤ 메탈과  랩이 최고지  👍 😎 😘 😍 😚 💕 👍    아   미쵸  ㅡ
mC33yYDnF5w,이틀만에 10번째 듣습니다..최고
mC33yYDnF5w,노래 제목 리스트 올려 주셔요.~
mC33yYDnF5w,지루한 저녁 힐링 제대로 하네요. 감사합니다.😉
mC33yYDnF5w,와~ 멋진음 둥~~ 둥둥❤❤
mC33yYDnF5w,광고없이 들으렴 어케해야해요
mC33yYDnF5w,노래 좋아요! 앞으로 지루한퇴근길 씐나게 운전하면서 들어야겠네요ㅎ 감삼돠~
mC33yYDnF5w,고맙습니다
mC33yYDnF5w,아고 늦게 출첵~!!!😂😂😂
mC33yYDnF5w,❤❤❤❤❤❤
mC33yYDnF5w,❤
mC33yYDnF5w,와!!진짜 쩐다 1~3까지 완전 내스퇄~~~~ ㅈ ㅣㄹ ㅕ ㄸ ㅏㄹ ㅣ❤❤
mC33yYDnF5w,개쩌네!!!!!!!!!
mC33yYDnF5w,대단합니다 ... 잘 들었습니다 !
mC33yYDnF5w,노래를 만드셨다고하셨는데 가사라도 알수있을까요...ㅠㅠ
mC33yYDnF5w,각 노래별 제목은 없나요?
mC33yYDnF5w,안녕하세요
mC33yYDnF5w,좋은노래 잘 듣고 갑니다 저도 그루브한 곡들 제작하고 있습니다 놀러오세용~
mC33yYDnF5w,또랑에빠짐 대인대물접수해주세요ㅡㅡ
mC33yYDnF5w,"니미넴님 노래중에
요 섹타가 완전 제취향ㅎ"
mC33yYDnF5w,좋네요. ^^ 직접 만든 노래라니 더 놀랍네요. ^^ 좋은 노래 감사합니다. ^^
mC33yYDnF5w,요즘 꽂혀서 매일 듣네요 . 흥이납니다요 ... 힙합대회도 나가 최우수상 탓지 한때는 ㅋㅋ
mC33yYDnF5w,12번은 워테파크에서 들릴것같은 ㅋ
mC33yYDnF5w,👍
mC33yYDnF5w,고속도로 졸린데 잠  확 깨주네요 ❤
mC33yYDnF5w,구독박아요 노래제목좀 알려주세요
mC33yYDnF5w,노래 제목 좀 적어주지..
mC33yYDnF5w,제작자님 1번과 2번 노래제목 알 수 있을까요? 정중하게 여쭈어 보고 부탁드리립니다. 노래를 들으면 예전 생각이 많이 나서 그렇습니다.
mC33yYDnF5w,미쳤.. 제목이?❤
mC33yYDnF5w,노래 듣다가 급발진함❤ 부웅. ≈≈≈
mC33yYDnF5w,출근하면서 들으면 안되나요?
mC33yYDnF5w,노래재목좀요
mC33yYDnF5w,노래제목좀요
mC33yYDnF5w,❤❤❤❤❤
mC33yYDnF5w,와우  ㅡㅡㅡㅡㅡㅡㅡ 7:02
mC33yYDnF5w,또랑으로가 뭐에요?
mC33yYDnF5w,힙~~한 뮤직!  완벽해요^^
mC33yYDnF5w,미쳣다! 이거다  구독❤ 좋아요👍
mC33yYDnF5w,노래제목도 가수도 안적혀있어서 아쉽습니다...ㅠ
mC33yYDnF5w,와맨처음곡
mC33yYDnF5w,👍  바로 구독갑니다^^
mC33yYDnF5w,운동하면서 들었는데 덤벨로 옆사람 찍을뻔....아드레날린 과다ㅋㅋㅋㅋ
mC33yYDnF5w,광고때메 조졌네요....
mC33yYDnF5w,내스타일이네 경쾌한 비트에 가벼운딕션 굿입니다
mC33yYDnF5w,또랑 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
mC33yYDnF5w,"와우~~
미군부대 근처 클럽인줄~~?너무 좋아서 흔들흔들😂😂😂😂"
mC33yYDnF5w,Pilumeue
mC33yYDnF5w,귀에 딱딱 때려박는랩이 제 취향이네요 정말 감사합니다.
mC33yYDnF5w,플리좀 알려주세요
mC33yYDnF5w,2번 제목점
mC33yYDnF5w,첫곡듣고 바로 구독합니다
mC33yYDnF5w,와 첫곡 뭔가여 넘 좋아요
mC33yYDnF5w,"Thank you verymuch.
👍🌹♥️♥️♥️🌷🌠💫🌌😘"
mC33yYDnF5w,대박입니다ㅜ
mC33yYDnF5w,잘듵어요ㅎㅎ배우고싶네❤
mC33yYDnF5w,"멋짐 뿜뿜😍
음악 너무 느낌 있고 좋네요.
잘 듣고 갑니다.😊"
mC33yYDnF5w,"997구독 박음 음악 쌈뽕허니 맛집이네요,,"
mC33yYDnF5w,ㅋㅋ 또랑있었음 큰일날뻔 ㅋㅋ
mC33yYDnF5w,퇴근하면서 듣다가 풀악셀 밟을뻔 했잖아요 책임져...
mC33yYDnF5w,일단구독박음
mC33yYDnF5w,"여기가  맛집이네 단골할께요
1000  가즈아~"
2fo_9usfaj8,"49:16 광고

[TRACKLIST]
00:00 사이먼 도미닉 - Simon Dominic
01:25 물음표 - 프라이머리
03:15 Aqua man - Beenzino
05:16 조금 이따 샤워해 - 개리
07:18 갖고 놀래 - 범키
08:44 All I wanna do - Jay PARK
11:00 Oasis - CRUSH
12:30 METEOR - 창모
14:40 그대로 있어도 돼 - Supreme Team
17:07 And July - Heize
19:10 Nike shoes - Beenzino
21:35 I Get lifted - PEEJAY
22:57 니가 모르게 - Loco
24:45 죽일 놈 - Dynamic duo
27:11 D - DEAN
29:13 A Real Man - swings
31:30 맘 편히 - Simon Dominic
33:52 Han gang gang - The Quiett
35:27 호구 - Giriboy
38:00 Peach - REDDY
39:37 PARTY - SIK-K
42:20 Martini Blue - DPR LIVE
43:56 Iffy - SIK-K, Ph-1
45:20 실키보이즈 - 블랙넛"
2fo_9usfaj8,노이즈가 너무 들어가요 어떻게 된건가요
2fo_9usfaj8,싸이먼.하는 순간 뒤집어짐
